from,to,path
2,16,100;132;51;72;128;36
2,17,86;134;131;32;158
2,17,107;28;27;32;158
2,17,86;28;27;32;158
2,17,86;134;27;32;158
2,20,86;44;71;139;145
2,21,107
2,21,93
2,23,86;134;27;32
2,23,86;28;27;32
2,23,107;28;27;32
2,23,86;134;131;32
2,25,107;108
2,25,86;28
2,25,107;28
2,27,86;134
2,27,86;28
2,27,107;28
2,28,107
2,28,86
2,30,86;44;71;139;145;8;120
2,30,86;44;71;139;145;55;120
2,30,100;132;51;56;116;10;120
2,30,100;132;51;56;116;88;120
2,30,100;132;51;56;116;148;120
2,30,86;44;71;139;145;68;111
2,30,86;44;71;73;69;68;111
2,30,86;44;71;139;69;68;111
2,30,86;44;71;139;145;68;0
2,30,86;44;71;73;69;68;0
2,30,86;44;71;139;69;68;0
2,32,86;134;131
2,32,107;28;27
2,32,86;28;27
2,32,86;134;27
2,33,107;28;27
2,33,86;28;27
2,33,86;134;27
2,33,107;28;25
2,33,86;28;25
2,33,107;108;25
2,35,93
2,36,100;132;51;72;128
2,38,100;132;51;56
2,39,100;132;51;56
2,40,86;134;49
2,40,86;134;47
2,44,86
2,46,107;28;25
2,46,86;28;25
2,46,107;108;25
2,47,86;134
2,48,100;132;51;56;116;10;82
2,48,100;132;51;56;116;88;82
2,48,86;44;71;139;145;8;120
2,48,86;44;71;139;145;55;120
2,48,100;132;51;56;116;10;120
2,48,100;132;51;56;116;88;120
2,48,100;132;51;56;116;148;120
2,49,86;134
2,50,86;44;71;139;145;8;120
2,50,86;44;71;139;145;55;120
2,50,100;132;51;56;116;10;120
2,50,100;132;51;56;116;88;120
2,50,100;132;51;56;116;148;120
2,51,100;132
2,53,107;28;25
2,53,86;28;25
2,53,107;108;25
2,54,93;124
2,54,94;124
2,55,86;44;71;139;145
2,56,100;132;51
2,57,93;35
2,57,93;21
2,57,107;21
2,58,86;44;71;139;145
2,60,93
2,61,93;124
2,61,94;124
2,61,93;60
2,65,100;132;51;72;128
2,65,100;132;51;56;7
2,65,100;132;51;72;7
2,65,100;132;51;138;7
2,66,86;44;71;139;145;68;111
2,66,86;44;71;73;69;68;111
2,66,86;44;71;139;69;68;111
2,68,86;44;71;139;145
2,68,86;44;71;73;69
2,68,86;44;71;139;69
2,69,86;44;71;139
2,69,86;44;71;73
2,71,86;44
2,72,100;132;51
2,73,86;44;71
2,74,86;44;71;139;145;8;120
2,74,86;44;71;139;145;55;120
2,74,100;132;51;56;116;10;120
2,74,100;132;51;56;116;88;120
2,74,100;132;51;56;116;148;120
2,74,86;44;71;139;145;68;146
2,74,86;44;71;73;69;68;146
2,74,86;44;71;139;69;68;146
2,75,86;134;131
2,75,86;134;49
2,76,86;44;71;139;145;8;120
2,76,86;44;71;139;145;55;120
2,76,100;132;51;56;116;10;120
2,76,100;132;51;56;116;88;120
2,76,100;132;51;56;116;148;120
2,78,100;132;51;56;116
2,79,86;44;71;73;123
2,79,86;44;71;73;69
2,79,86;44;71;139;69
2,82,100;132;51;56;116;88
2,82,100;132;51;56;116;10
2,83,86;44;71
2,84,86;134;131;32;158;102;130
2,84,107;28;27;32;158;102;130
2,84,86;28;27;32;158;102;130
2,84,86;134;27;32;158;102;130
2,84,107;28;27;33;4;102;130
2,84,86;28;27;33;4;102;130
2,84,86;134;27;33;4;102;130
2,84,107;28;25;33;4;102;130
2,84,86;28;25;33;4;102;130
2,84,107;108;25;33;4;102;130
2,84,86;134;131;32;4;102;130
2,84,107;28;27;32;4;102;130
2,84,86;28;27;32;4;102;130
2,84,86;134;27;32;4;102;130
2,84,86;134;131;32;158;101;130
2,84,107;28;27;32;158;101;130
2,84,86;28;27;32;158;101;130
2,84,86;134;27;32;158;101;130
2,84,86;134;131;32;141;101;130
2,84,107;28;27;32;141;101;130
2,84,86;28;27;32;141;101;130
2,84,86;134;27;32;141;101;130
2,84,86;134;131;75;141;101;130
2,84,86;134;49;75;141;101;130
2,84,86;134;131;147;141;101;130
2,84,86;134;131;32;158;17;130
2,84,107;28;27;32;158;17;130
2,84,86;28;27;32;158;17;130
2,84,86;134;27;32;158;17;130
2,84,86;134;131;32;158;159;130
2,84,107;28;27;32;158;159;130
2,84,86;28;27;32;158;159;130
2,84,86;134;27;32;158;159;130
2,85,93;60
2,85,93;35
2,87,100;132;51;138
2,88,100;132;51;56;116
2,89,100;132;51
2,90,86;44;71;139;145;58
2,90,86;44;71;139;145;20
2,91,86;134;131;32;158
2,91,107;28;27;32;158
2,91,86;28;27;32;158
2,91,86;134;27;32;158
2,91,86;134;131;32;141
2,91,107;28;27;32;141
2,91,86;28;27;32;141
2,91,86;134;27;32;141
2,91,86;134;131;75;141
2,91,86;134;49;75;141
